Filament,Productionline,Manufacturer,Model,Source,PrintTempFirstLayer (ºC),PrintTempOtherLayers (ºC),BedTempFrstLay (ºC),BedTempOthLay (ºC),EnclTempFrstLay (ºC),EnclTempOthLay (ºC),ExtrMultiplier,PressAdvaEnab,PressAdv,SmthTime,Cooling,FanSpeedMin,FanSpeedMax,BridgesFanSpeed,ChamberAuxFanSpd,DisFanFirstLayers,FllFanSpeedAt,MaxVolSpeed (mm^3/s),RetrLengt (mm),RetrSpd (mm/s),DeRetrtSpd (mm/s),RecommSpsMax (mm/s),RecommSpsMax
Hatchbox,Silver PLA,Creality,CR-3040 Pro,Datasheet,228,218,95,85,76,67,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,Gold PLA,Creality,CR-5 Pro High-​Temp,Datasheet,228,218,96,86,77,68,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,White PLA,Creality,CR-​M4,Datasheet,228,218,97,87,78,69,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,Black PLA,Elegoo,Neptune 3 Max,Review,228,218,98,88,79,70,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,PLA,Elegoo,Neptune 3 Plus,Review,229,219,99,89,80,71,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,ABS,Elegoo,Neptune 3 Pro,Review,229,219,101,91,81,71,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,PETG,Elegoo,Neptune 4,Review,229,219,102,92,82,72,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,TPU,Elegoo,Neptune 4 Max,Review,229,219,103,93,83,73,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,PVA,Elegoo,Neptune 4 Plus,Review,230,220,104,94,84,74,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,HIPS,Elegoo,Neptune 4 Pro,Review,230,220,105,95,85,75,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,PLA+,FlashForge,Adventurer 3,Review,230,220,106,96,86,76,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,ePC,FlashForge,Adventurer 3 Pro,Review,230,220,108,98,87,76,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,eFlex,FlashForge,Adventurer 4,Review,231,221,109,99,88,77,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,eLastic,FlashForge,Adventurer 4 Pro,Review,231,221,110,100,89,78,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,ePA,FlashForge,Creator 3 Pro,Review,231,221,111,101,90,79,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,eCopper,FlashForge,Guider 3,Review,231,221,112,102,91,80,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,eAlfill,FLSUN,Super Racer,Review,232,222,113,103,92,81,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,eSilk-PLA,FLSUN,V400,Review,232,222,114,104,93,82,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,eMarble-PLA,FLSUN,Q5,Review,232,222,116,106,94,82,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,eWood-PLA,LDO Motors,Voron 2.4 300,Review,232,222,117,107,95,83,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,eCopper-PLA,LDO Motors,Voron 2.4 350,Review,233,223,118,108,96,84,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,eLastic,LDO Motors,Voron Trident 250,Review,233,223,119,109,97,85,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,ePA-CF,LDO Motors,Voron Trident 300,Review,233,223,120,110,98,86,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
eSUN,ePA-GF,LDO Motors,Voron V0-S1,Review,233,223,121,111,99,87,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,PLA,LDO Motors,Voron V0.2-S1,Review,234,224,122,112,100,88,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,ABS,MINGDA,Magician Max,Review,234,224,124,114,101,88,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,PETG,MINGDA,Magician Pro,Review,234,224,125,115,102,89,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,TPU,MINGDA,Magician X2,Review,234,224,126,116,103,90,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,HIPS,Qidi Tech,i-Fast,Review,235,225,127,117,104,91,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,PVA,Qidi Tech,X-CF Pro,Review,235,225,128,118,105,92,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,Wood PLA,Qidi Tech,X-Max 3,Review,235,225,129,119,106,93,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,Carbon Fiber PLA,Qidi Tech,X-Plus 3,Review,235,225,131,121,107,93,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,Silk PLA,Qidi Tech,X-Smart 3,Review,236,226,132,122,108,94,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,Glow in the Dark PLA,Snapmaker,Artisan,Review,236,226,133,123,109,95,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,Flexible TPU,Snapmaker,Artisan 3D Drucker,Review,236,226,134,124,110,96,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,Marble PLA,Snapmaker,J1,Review,236,226,135,125,111,97,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,Bronze PLA,Snapmaker,J1s,Review,236,226,136,126,112,98,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
AMZ3D,Copper PLA,Snapmaker,Snapmaker 2.0,Review,237,227,137,127,113,99,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PLA,Snapmaker,SV01 Pro,Review,237,227,139,129,114,99,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,ABS,Sovol,SV04,Review,237,227,140,130,115,100,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PETG,Sovol,SV06,Review,237,227,141,131,116,101,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,TPU,Sovol,SV06 Plus,Review,238,228,142,132,117,102,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PC,Sovol,SV07,Review,238,228,143,133,118,103,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,ASA,Zortrax,M200 Plus,Review,238,228,144,134,119,104,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PVA,Zortrax,M300 Dual,Review,238,228,146,136,120,104,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PolyWood,Ultimaker,Ultimaker S5 Pro Bundle,Review,239,229,147,137,121,105,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PolyMide,Ultimaker,Ultimaker S5,Review,239,229,148,138,122,106,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PolyMax,Ultimaker,Ultimaker S3,Review,239,229,149,139,123,107,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PolyLite,Ultimaker,Ultimaker 2+ Connect,Review,239,229,150,140,124,108,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PolyFlex,Ultimaker,Ultimaker 2 Extended+,Review,240,230,151,141,125,109,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PolySupport,Ultimaker,Ultimaker 2+,Review,240,230,152,142,126,110,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PolySmooth,Ultimaker,Ultimaker Original+,Review,240,230,154,144,127,110,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PolyCast,Ultimaker,Ultimaker 3,Review,240,230,155,145,128,111,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Polymaker,PolyDissolve,Prusa,Original Prusa i3 MK3,Review,241,231,156,146,129,112,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,PLA,Prusa,Original Prusa i3 MK3S,Review,241,231,157,147,130,113,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,ABS,Prusa,Original Prusa i3 MK3S+,Review,241,231,158,148,131,114,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,PETG,Prusa,Original Prusa Mini,Review,241,231,159,149,132,115,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,XT,Prusa,Original Prusa i3 MK2,Review,242,232,160,150,133,116,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,NGEN,Prusa,Original Prusa i3 MK2S,Review,242,232,162,152,134,116,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,nGen Flex,Prusa,Original Prusa i3 MK2.5,Review,242,232,163,153,135,117,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,PA,AnkerMake,M5,Review,242,232,164,154,136,118,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,HT,AnkerMake,M5C,Review,243,233,165,155,137,119,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,XT-CF20,Anycubic,Kobra 2,Review,243,233,166,156,138,120,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,HT Max,Anycubic,Kobra 2 Max,Review,243,233,167,157,139,121,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,LW-PLA,Anycubic,Kobra 2 Neo,Review,243,233,169,159,140,121,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,PLA/PHA,Anycubic,Kobra 2 Plus,Review,244,234,170,160,141,122,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,WoodFill,Anycubic,Kobra 2 Pro,Review,244,234,171,161,142,123,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,CorkFill,COMGROW,T500,Review,244,234,172,162,143,124,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,Bronzefill,Creality,CR-10 Max,Review,244,234,173,163,144,125,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,CopperFill,Creality,CR-10 SE,Review,244,234,174,164,145,126,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,BrassFill,Creality,CR-10 Smart Pro,Review,245,235,175,165,146,127,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,GlowFill,Creality,CR-200B Pro,Review,245,235,177,167,147,127,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,Green-TEC,Creality,CR-3040 Pro,Review,245,235,178,168,148,128,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
ColorFabb,Ultrafuse ASA,Creality,CR-5 Pro High-​Temp,Review,245,235,179,169,149,129,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,PLA,Creality,CR-​M4,Review,246,236,180,170,150,130,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,HTPLA,Creality,CR-10 V3,Review,246,236,181,171,151,131,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Matte Fiber HTPLA,Creality,CR-10 Max,Review,246,236,182,172,152,132,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Carbon Fiber PLA,Creality,CR-10 SE,Review,246,236,184,174,153,132,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Stainless Steel PLA,Creality,CR-10 Smart Pro,Review,247,237,185,175,154,133,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Iron PLA,Creality,CR-200B Pro,Review,247,237,186,176,155,134,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Magnetic Iron PLA,Creality,CR-3040 Pro,Review,247,237,187,177,156,135,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Aromatic Coffee HTPLA,Creality,CR-5 Pro High-​Temp,Review,247,237,188,178,157,136,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Aromatic Pine HTPLA,Creality,CR-​M4,Review,248,238,189,179,158,137,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Aromatic Basil HTPLA,Elegoo,Neptune 3 Max,Review,248,238,190,180,159,138,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Aromatic Lavender HTPLA,Elegoo,Neptune 3 Plus,Review,248,238,192,182,160,138,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Aromatic Eucalyptus HTPLA,Elegoo,Neptune 3 Pro,Review,248,238,193,183,161,139,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Aromatic Cinnamon HTPLA,Elegoo,Neptune 4,Review,249,239,194,184,162,140,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Aromatic Peppermint HTPLA,Elegoo,Neptune 4 Max,Review,249,239,195,185,163,141,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Polycarbonate-ABS Alloy,Elegoo,Neptune 4 Plus,Review,249,239,196,186,164,142,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Polycarbonate-ABS Alloy Carbon Fiber,Elegoo,Neptune 4 Pro,Review,249,239,197,187,165,143,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Crystal Clear PLA,FlashForge,Adventurer 3,Review,250,240,198,188,166,144,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Glitter Flake HTPLA,FlashForge,Adventurer 3 Pro,Review,250,240,200,190,167,144,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,Galactic Empire Imperial Gray HTPLA,FlashForge,Adventurer 4,Review,250,240,201,191,168,145,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Proto-Pasta,The Original Carbon Fiber PLA,FlashForge,Adventurer 4 Pro,Review,250,240,202,192,169,146,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series PLA,FlashForge,Creator 3 Pro,Review,251,241,203,193,170,147,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series PETG,FlashForge,Guider 3,Review,251,241,204,194,171,148,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series ABS,FLSUN,Super Racer,Review,251,241,205,195,172,149,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series PRO Series PLA,FLSUN,V400,Review,251,241,207,197,173,149,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series PRO Series PETG,FLSUN,Q5,Review,252,242,208,198,174,150,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series Nylon,LDO Motors,Voron 2.4 300,Review,252,242,209,199,175,151,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series Flexible TPU,LDO Motors,Voron 2.4 350,Review,252,242,210,200,176,152,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series PVA,LDO Motors,Voron Trident 250,Review,252,242,211,201,177,153,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series HIPS,LDO Motors,Voron Trident 300,Review,252,242,212,202,178,154,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series ASA,LDO Motors,Voron V0-S1,Review,253,243,213,203,179,155,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series PC ,LDO Motors,Voron V0.2-S1,Review,253,243,215,205,180,155,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series CF-Nylon (Carbon Fiber Nylon),MINGDA,Magician Max,Review,253,243,216,206,181,156,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series Fiberglass PETG,MINGDA,Magician Pro,Review,253,243,217,207,182,157,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series Gypsum-PHA (PLA with gypsum),MINGDA,Magician X2,Review,254,244,218,208,183,158,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series Multicolor PLA,Qidi Tech,i-Fast,Review,254,244,219,209,184,159,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series Wood PLA,Qidi Tech,X-CF Pro,Review,254,244,220,210,185,160,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series Color Changing PLA,Qidi Tech,X-Max 3,Review,254,244,222,212,186,160,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series Pro ABS,Qidi Tech,X-Plus 3,Review,255,245,223,213,187,161,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series Pro ABS-R,Qidi Tech,X-Smart 3,Review,255,245,224,214,188,162,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series Pro PETG,Snapmaker,Artisan,Review,255,245,225,215,189,163,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
MatterHackers,MH Build Series Pro Flex (Flexible TPU),Snapmaker,Artisan 3D Drucker,Review,255,245,226,216,190,164,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,EasyFil PLA,Snapmaker,J1,Review,256,246,227,217,191,165,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,EasyFil ABS,Snapmaker,J1s,Review,256,246,228,218,192,166,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,HDglass PETG,Snapmaker,Snapmaker 2.0,Review,256,246,230,220,193,166,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,TitanX ABS,Snapmaker,SV01 Pro,Review,256,246,231,221,194,167,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,ApolloX ASA,Sovol,SV04,Review,257,247,232,222,195,168,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,FlexiFil TPU,Sovol,SV06,Review,257,247,233,223,196,169,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,Volcano PLA,Sovol,SV06 Plus,Review,257,247,234,224,197,170,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,StoneFil,Sovol,SV07,Review,257,247,235,225,198,171,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,MetalFil,Zortrax,M200 Plus,Review,258,248,236,226,199,172,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,CarbonFil,Zortrax,M300 Dual,Review,258,248,238,228,200,172,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,WoodFil,Ultimaker,Ultimaker S5 Pro Bundle,Review,258,248,239,229,201,173,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,PEEK,Ultimaker,Ultimaker S5,Review,258,248,240,230,202,174,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,PC-ABS,Ultimaker,Ultimaker S3,Review,259,249,241,231,203,175,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,PCTG,Ultimaker,Ultimaker 2+ Connect,Review,259,249,242,232,204,176,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,PolyDissolve,Ultimaker,Ultimaker 2 Extended+,Review,259,249,243,233,205,177,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,EasyCork,Ultimaker,Ultimaker 2+,Review,259,249,245,235,206,177,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,EasyWood,Ultimaker,Ultimaker Original+,Review,260,250,246,236,207,178,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,EasyMarble,Ultimaker,Ultimaker 3,Review,260,250,247,237,208,179,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,EasyCarbon,Prusa,Original Prusa i3 MK3,Review,260,250,248,238,209,180,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Formfutura,ReForm,Prusa,Original Prusa i3 MK3S,Review,260,250,249,239,210,181,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Priline,PLA,Prusa,Original Prusa i3 MK3S+,Review,260,250,250,240,211,182,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Priline,PETG,Prusa,Original Prusa Mini,Review,261,251,251,241,212,183,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Priline,TPU,Prusa,Original Prusa i3 MK2,Review,261,251,253,243,213,183,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Priline,Silk PLA,Prusa,Original Prusa i3 MK2S,Review,261,251,254,244,214,184,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Priline,Marble PLA,Prusa,Original Prusa i3 MK2.5,Review,261,251,255,245,215,185,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Priline,Wood PLA,AnkerMake,M5,Review,262,252,256,246,216,186,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
